"","Sector","Company","sentiment_bins","mean_sentiments"
"344","Services","JD","Moderate_sell",0.427625
"345","Financial","Hong Kong Exchanges & Clearing",NA,NA
"346","Utilities","National Grid Transco",NA,NA
"347","Services","Singapore Telecommunications",NA,NA
"348","Financial","Hong Kong Exchanges & Clearing",NA,NA
"349","Technology","Autodesk","Moderate_buy",0.6478625
"350","Financial","Hang Seng Bank",NA,NA
"351","Industrial Goods","Dow","Moderate_sell",0.440525
"352","Financial","Mizuho Financial",NA,NA
"353","Financial","China Vanke Co",NA,NA
"354","Materials","Marathon Petroleum","Hold",0.6044
"355","Materials","Valero Energy","Moderate_sell",0.414925
"356","Utilities","Orsted",NA,NA
"357","Technology","Shopify","Hold",0.5401875
"358","Technology","Telefonica","Moderate_sell",0.361075
"359","Financial","Itau Unibanco","Moderate_sell",0.4165
"360","Financial","Banco Santander Brasil","Moderate_sell",0.324525
"361","Consumer Goods","Lam Research","Moderate_buy",0.64565
"362","Financial","Canadian Bank of Commerce","Hold",0.5386875
"363","Financial","Tokio Marine Holdings",NA,NA
"364","Financial","Tokio Marine Holdings",NA,NA
"365","Financial","JAPAN POST HOLDINGS Co",NA,NA
"366","Services","Sands China","Moderate_sell",0.375
"367","Financial","Manulife Financial","Strong_sell",0.308725
"368","Utilities","Orsted","Moderate_sell",0.37
"369","Services","Mitsubishi",NA,NA
"370","Industrial Goods","Eaton","Strong_sell",0.252125
"371","Technology","Hitachi",NA,NA
"372","Financial","Barclays","Moderate_sell",0.42265
"373","Utilities","ENGIE SA",NA,NA
"374","Technology","Murata Manufacturing Co",NA,NA
"375","Materials","Ecopetrol SA","Hold",0.579925
"376","Financial","Prudential Financial","Strong_sell",0.26795
"377","Industrial Goods","Roper Technologies","Moderate_sell",0.4343125
"378","Financial","Credit Agricole","Moderate_sell",0.446425
"379","Financial","China Overseas Land & Investment",NA,NA
"380","Financial","Mizuho Financial Group",NA,NA
"381","Consumer Goods","Kraft Heinz","Moderate_buy",0.649825
"382","Services","CITIC",NA,NA
"383","General","China Shenhua Energy Co",NA,NA
"384","Services","Sands China",NA,NA
"385","Services","Delta Airlines","Hold",0.5606625
"386","Consumer Goods","Alimentation Couche Tard",NA,NA
"387","Consumer Goods","Murata Manufacturing Co",NA,NA
"388","Consumer Goods","Kao",NA,NA
"389","Financial","Public Storage","Moderate_sell",0.35705
"390","Financial","Japan Post Bank Co",NA,NA
"391","Financial","PT Bank Rakyat Indonesia (Persero) Tbk",NA,NA
"392","Materials","Hitachi",NA,NA
"393","Financial","BOC Hong Kong (Holdings)",NA,NA
"394","Industrial Goods","Fanuc",NA,NA
"395","Services","CITIC Pacific",NA,NA
"396","Financial","Allstate","Moderate_sell",0.38825
"397","Consumer Goods","Ford Motor","Hold",0.56835
"398","Industrial Goods","CK Hutchison Holdings",NA,NA
"399","Financial","Royal Bank of Scotland","Moderate_sell",0.375
"400","Consumer Goods","VF","Strong_sell",0.2324
"401","Financial","Travelers Companies","Moderate_sell",0.418875
"402","Services","Thomson Reuters","Moderate_sell",0.358075
"403","Financial","Oversea-Chinese Banking",NA,NA
"404","Consumer Goods","Constellation Brands","Strong_sell",0.2386
"405","Consumer Goods","Dell Technologies","Moderate_buy",0.6602875
"406","Technology","Cognizant","Hold",0.567475
"407","Materials","DENSO",NA,NA
"408","Utilities","East Japan Railway Company",NA,NA
"409","Financial","Banco Bilbao","Hold",0.578075
"410","Industrial Goods","CK Hutchison Holdings",NA,NA
"411","Consumer Goods","DENSO",NA,NA
"412","Financial","China Pacific Insurance (Group) Co",NA,NA
"413","Materials","Occidental Petroleum","Hold",0.462625
"414","Financial","Welltower","Strong_sell",0.263925
"415","Technology","America Movil","Hold",0.477575
"416","Technology","Amadeus IT Group, S.A.",NA,NA
"417","Healthcare","HOYA",NA,NA
"418","Healthcare","HOYA",NA,NA
"419","Utilities","MTR",NA,NA
"420","Services","East Japan Railway",NA,NA
"421","Materials","Anhui Conch Cement Company",NA,NA
"422","Services","O'Reilly Auto","Strong_sell",0.291925
"423","Financial","Bank of China","Moderate_sell",0.445
"424","Industrial Goods","Seven & I Holdings Co",NA,NA
"425",NA,"Itochu",NA,NA
"426","Materials","Canadian Natural","Hold",0.58145
"427","Services","Johnson Controls",NA,NA
"428","Technology","Tokyo Electron",NA,NA
"429","Services","Seven & I Holdings",NA,NA
"430","Services","Itochu",NA,NA
"431","Services","Canadian Pacific","Moderate_sell",0.3336625
"432","Technology","Vivendi","Moderate_sell",0.3988
"433","Utilities","Hong Kong & China Gas Co",NA,NA
"434","Technology","Tokyo Electron",NA,NA
"435","Technology","Baidu","Moderate_sell",0.415725
"436","Consumer Goods","Brown-Forman B",NA,NA
"437","Financial","Credit Suisse","Hold",0.476625
"438","Services","China Telecom",NA,NA
"439","Industrial Goods","Cargotec",NA,NA
"440","Technology","NXP Semiconductors","Moderate_sell",0.4268
"441","Materials","Anglo American",NA,NA
"442","Utilities","Xcel Energy","Moderate_sell",0.3987625
"443","Consumer Goods","General Mills","Hold",0.4625875
"444","Consumer Goods","Tyson Foods","Strong_sell",0.27295
"445","Consumer Goods","Monster Beverage",NA,NA
"446","Financial","Macquarie Group",NA,NA
"447","Technology","Hon Hai Precision Industry Co",NA,NA
"448","Services","Carnival","Moderate_sell",0.4062625
"449","Financial","Macquarie Group",NA,NA
"450","Financial","Equity Residential",NA,NA
"451","Healthcare","Astellas Pharma",NA,NA
"452","Financial","China Minsheng Banking",NA,NA
"453","Financial","United Overseas Bank","Hold",0.5
"454","Materials","Newmont Mining","Moderate_buy",0.6619
"455","Financial","SunTrust Banks",NA,NA
"456","Financial","Banco Bradesco SA","Moderate_sell",0.4331125
"457","Industrial Goods","Ingersoll-Rand","Moderate_sell",0.330475
"458","Services","Mitsui & Co",NA,NA
"459","Financial","Assicurazioni Generali",NA,NA
"460","Technology","Atlassian","Hold",0.5346
"461","Materials","Gazprom Neft",NA,NA
"462","Financial","Banco do Brasil SA","Moderate_sell",0.375
"463","Materials","LafargeHolcim",NA,NA
"464","Technology","Telstra","Moderate_sell",0.375
"465","Materials","Energy Transfer","Moderate_buy",0.6764
"466","Consumer Goods","TE Connectivity",NA,NA
"467","Financial","Swiss Re",NA,NA
"468","Financial","China Resources Land",NA,NA
"469","Financial","China Evergrande Group",NA,NA
"470","Financial","UniCredit SpA","Moderate_sell",0.3409
"471","Services","Mitsui & Co",NA,NA
"472","Services","Sirius XM Holdings",NA,NA
"473","Consumer Goods","LyondellBasell","Strong_sell",0.2875
"474","Industrial Goods","Amphenol","Hold",0.49715
"475","Technology","Paychex","Moderate_buy",0.6706
"476","Financial","United Overseas Bank (Singapore)",NA,NA
"477","Financial","Country Garden Holdings Co",NA,NA
"478","Utilities","Electricite de France SA",NA,NA
"479","Industrial Goods","SMC (OR)",NA,NA
"480","Consumer Goods","Brown Forman A","Moderate_sell",0.375175
"481","Materials","PPG Industries","Hold",0.4635
"482","Services","Yum! Brands","Moderate_sell",0.33615
"483","Services","Restaurant Brands International","Hold",0.4735875
"484","Financial","KBC Group","Hold",0.5025
"485","Consumer Goods","Transdigm Group","Hold",0.4630875
"486","Services","Southwest Airlines","Moderate_sell",0.423725
"487","Materials","CRH","Moderate_sell",0.3347
"488","Industrial Goods","Wesfarmers",NA,NA
"489","Industrial Goods","Atlas Copco","Hold",0.4975
"490","Consumer Goods","Hershey Co",NA,NA
"491","Utilities","Public Service Enterprise","Hold",0.4603
"492","Financial","AvalonBay","Hold",0.47085
"493","Healthcare","Zimmer Biomet Holdings","Moderate_sell",0.3395
"494","Materials","Barrick Gold","Hold",0.499575
"495","Consumer Goods","Ferrari","Hold",0.50945
"496","Services","Experian",NA,NA
"497","Consumer Goods","HP","Hold",0.5955875
"498","Services","Bridgestone",NA,NA
"499","Services","Experian",NA,NA
"500","Services","Hilton Worldwide Holdings","Moderate_buy",0.6385375
"501","Consumer Goods","Mitsubishi Electric",NA,NA
"502","Consumer Goods","Electronic Arts","Hold",0.5434375
"503","Consumer Goods","Lululemon Athletica","Moderate_buy",0.6608375
"504","Consumer Goods","Canon","Moderate_sell",0.425
"505","Materials","Southern Copper","Moderate_sell",0.4355
"506","Technology","Square","Moderate_buy",0.7424875
"507","Materials","Oneok","Hold",0.499075
"508","Services","IHS Markit","Hold",0.57185
"509","Services","China Unicom (Hong Kong)",NA,NA
"510","Consumer Goods","Shiseido Company",NA,NA
"511","Financial","Standard Chartered","Hold",0.4675875
"512","Services","Ebay","Hold",0.5415
"513","Services","Tesco","Moderate_sell",0.375
"514","Utilities","Consolidated Edison","Hold",0.470775
"515","Technology","Chunghwa Telecom Co",NA,NA
"516","Financial","T Rowe Price",NA,NA
"517","Technology","Mercadolibre","Hold",0.59755
"518","Services","Galaxy Entertainment Group",NA,NA
"519","Consumer Goods","Bridgestone",NA,NA
"520","Consumer Goods","Motorola Solutions","Hold",0.51005
"521","Financial","Nordea Bank Abp",NA,NA
"522","Services","Telstra",NA,NA
"523","Healthcare","IQVIA Holdings","Hold",0.4803
"524","Materials","Republic Services","Hold",0.5441125
"525","Financial","Nordea Bank Abp",NA,NA
"526","Industrial Goods","Paccar","Hold",0.5042
"527","Services","PT Telekomunikasi Indonesia (Persero) Tbk",NA,NA
"528","Financial","TD Ameritrade","Moderate_sell",0.436775
"529","Services","AutoZone","Strong_sell",0.299375
"530","Industrial Goods","Cummins","Strong_sell",0.305575
"531","Utilities","Transurban Group",NA,NA
"532","Utilities","WEC Energy Group",NA,NA
"533","Consumer Goods","Telefonaktiebolaget LM Ericsson","Moderate_sell",0.401625
"534","Materials","Williams Co",NA,NA
"535","Technology","PT Telekomunikasi Indonesia Tbk","Moderate_sell",0.365
"536","Financial","State Street","Hold",0.4911875
"537","Technology","Xiaomi",NA,NA
"538","Utilities","EON SE","Moderate_sell",0.39
"539","Materials","Nutrien","Hold",0.4776375
"540","Consumer Goods","Infineon Technologies AG",NA,NA
"541","Consumer Goods","Givaudan SA",NA,NA
"542","Healthcare","Alcon",NA,NA
"543","Services","Royal Ahold Delhaize","Hold",0.4761
"544","Consumer Goods","Continental Aktiengesellschaft",NA,NA
"545","Technology","Swisscom AG",NA,NA
"546","Financial","Sun Life Financial","Hold",0.5889375
"547","Utilities","Eversource Energy","Hold",0.514175
"548","Financial","PICC Property & Casualty Co",NA,NA
"549","Services","Fleetcor Technologies","Hold",0.5564375
"550","Industrial Goods","Schindler Holding AG",NA,NA
"551","Services","SBA Communications","Moderate_buy",0.634
"552","Services","Cintas","Strong_sell",0.194525
"553","Financial","Discover Financial Services","Moderate_sell",0.45435
"554","Consumer Goods","ANTA Sports Products",NA,NA
"555","Utilities","CLP Holdings",NA,NA
"556","Consumer Goods","Infineon","Hold",0.5357125
"557","Financial","Henderson Land",NA,NA
"558","Financial","DNB ASA","Hold",0.5
"559","Consumer Goods","Associated British Foods","Moderate_sell",0.375
"560","Services","McKesson","Hold",0.4877125
"561","Industrial Goods","Continental AG",NA,NA
"562","Technology","China Unicom",NA,NA
"563","Healthcare","Terumo",NA,NA
"564","Technology","Telenor ASA",NA,NA
"565","Consumer Goods","Kla-Tencor","Hold",0.585625
"566","Utilities","CLP Holdings",NA,NA
"567","Utilities","FirstEnergy","Strong_sell",0.28935
"568","Industrial Goods","Parker Hannifin",NA,NA
"569","Financial","Mitsubishi Estate Company",NA,NA
"570","Financial","China CITIC Bank",NA,NA
